,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,2,0
1,Male,21,15,81,2,4
2,Female,20,16,6,2,0
3,Female,23,16,77,2,4
4,Female,31,17,40,2,0
5,Female,22,17,76,2,4
6,Female,35,18,6,2,0
7,Female,23,18,94,2,4
8,Male,64,19,3,2,0
9,Female,30,19,72,2,4
10,Male,67,19,14,2,0
11,Female,35,19,99,2,4
12,Female,58,20,15,2,0
13,Female,24,20,77,2,4
14,Male,37,20,13,2,0
15,Male,22,20,79,2,4
16,Female,35,21,35,2,0
17,Male,20,21,66,2,4
18,Male,52,23,29,2,0
19,Female,35,23,98,2,4
20,Male,35,24,35,2,0
21,Male,25,24,73,2,4
22,Female,46,25,5,2,0
23,Male,31,25,73,2,4
24,Female,54,28,14,2,0
25,Male,29,28,82,2,4
26,Female,45,28,32,2,0
27,Male,35,28,61,2,4
28,Female,40,29,31,2,0
29,Female,23,29,87,2,4
30,Male,60,30,4,2,0
31,Female,21,30,73,2,4
32,Male,53,33,4,2,0
33,Male,18,33,92,2,4
34,Female,49,33,14,2,0
35,Female,21,33,81,2,4
36,Female,42,34,17,2,0
37,Female,30,34,73,2,4
38,Female,36,37,26,2,0
39,Female,20,37,75,2,4
40,Female,65,38,35,2,0
41,Male,24,38,92,2,4
42,Male,48,39,36,2,0
43,Female,31,39,61,2,1
44,Female,49,39,28,2,0
45,Female,24,39,65,2,4
46,Female,50,40,55,2,1
47,Female,27,40,47,2,1
48,Female,29,40,42,2,1
49,Female,31,40,42,2,1
50,Female,49,42,52,2,1
51,Male,33,42,60,2,1
52,Female,31,43,54,2,1
53,Male,59,43,60,2,1
54,Female,50,43,45,2,1
55,Male,47,43,41,2,1
56,Female,51,44,50,2,1
57,Male,69,44,46,2,1
58,Female,27,46,51,0,1
59,Male,53,46,46,0,1
60,Male,70,46,56,0,1
61,Male,19,46,55,0,1
62,Female,67,47,52,0,1
63,Female,54,47,59,0,1
64,Male,63,48,51,0,1
65,Male,18,48,59,0,1
66,Female,43,48,50,0,1
67,Female,68,48,48,0,1
68,Male,19,48,59,0,1
69,Female,32,48,47,0,1
70,Male,70,49,55,0,1
71,Female,47,49,42,0,1
72,Female,60,50,49,0,1
73,Female,60,50,56,0,1
74,Male,59,54,47,0,1
75,Male,26,54,54,0,1
76,Female,45,54,53,0,1
77,Male,40,54,48,0,1
78,Female,23,54,52,0,1
79,Female,49,54,42,0,1
80,Male,57,54,51,0,1
81,Male,38,54,55,0,1
82,Male,67,54,41,0,1
83,Female,46,54,44,0,1
84,Female,21,54,57,0,1
85,Male,48,54,46,0,1
86,Female,55,57,58,0,1
87,Female,22,57,55,0,1
88,Female,34,58,60,0,1
89,Female,50,58,46,0,1
90,Female,68,59,55,0,1
91,Male,18,59,41,0,1
92,Male,48,60,49,0,1
93,Female,40,60,40,0,1
94,Female,32,60,42,0,1
95,Male,24,60,52,0,1
96,Female,47,60,47,0,1
97,Female,27,60,50,0,1
98,Male,48,61,42,0,1
99,Male,20,61,49,0,1
100,Female,23,62,41,0,1
101,Female,49,62,48,0,1
102,Male,67,62,59,0,1
103,Male,26,62,55,0,1
104,Male,49,62,56,0,1
105,Female,21,62,42,0,1
106,Female,66,63,50,0,1
107,Male,54,63,46,0,1
108,Male,68,63,43,0,1
109,Male,66,63,48,0,1
110,Male,65,63,52,0,1
111,Female,19,63,54,0,1
112,Female,38,64,42,0,1
113,Male,19,64,46,0,1
114,Female,18,65,48,0,1
115,Female,19,65,50,0,1
116,Female,63,65,43,0,1
117,Female,49,65,59,0,1
118,Female,51,67,43,0,1
119,Female,50,67,57,0,1
120,Male,27,67,56,0,1
121,Female,38,67,40,0,1
122,Female,40,69,58,0,1
123,Male,39,69,91,0,2
124,Female,23,70,29,0,3
125,Female,31,70,77,0,2
126,Male,43,71,35,0,1
127,Male,40,71,95,0,2
128,Male,59,71,11,0,3
129,Male,38,71,75,0,2
130,Male,47,71,9,0,3
131,Male,39,71,75,0,2
132,Female,25,72,34,0,1
133,Female,31,72,71,0,2
134,Male,20,73,5,0,3
135,Female,29,73,88,0,2
136,Female,44,73,7,0,3
137,Male,32,73,73,0,2
138,Male,19,74,10,0,3
139,Female,35,74,72,0,2
140,Female,57,75,5,0,3
141,Male,32,75,93,0,2
142,Female,28,76,40,0,1
143,Female,32,76,87,0,2
144,Male,25,77,12,1,3
145,Male,28,77,97,1,2
146,Male,48,77,36,1,3
147,Female,32,77,74,1,2
148,Female,34,78,22,1,3
149,Male,34,78,90,1,2
150,Male,43,78,17,1,3
151,Male,39,78,88,1,2
152,Female,44,78,20,1,3
153,Female,38,78,76,1,2
154,Female,47,78,16,1,3
155,Female,27,78,89,1,2
156,Male,37,78,1,1,3
157,Female,30,78,78,1,2
158,Male,34,78,1,1,3
159,Female,30,78,73,1,2
160,Female,56,79,35,1,3
161,Female,29,79,83,1,2
162,Male,19,81,5,1,3
163,Female,31,81,93,1,2
164,Male,50,85,26,1,3
165,Female,36,85,75,1,2
166,Male,42,86,20,1,3
167,Female,33,86,95,1,2
168,Female,36,87,27,1,3
169,Male,32,87,63,1,2
170,Male,40,87,13,1,3
171,Male,28,87,75,1,2
172,Male,36,87,10,1,3
173,Male,36,87,92,1,2
174,Female,52,88,13,1,3
175,Female,30,88,86,1,2
176,Male,58,88,15,1,3
177,Male,27,88,69,1,2
178,Male,59,93,14,1,3
179,Male,35,93,90,1,2
180,Female,37,97,32,1,3
181,Female,32,97,86,1,2
182,Male,46,98,15,1,3
183,Female,29,98,88,1,2
184,Female,41,99,39,1,3
185,Male,30,99,97,1,2
186,Female,54,101,24,1,3
187,Male,28,101,68,1,2
188,Female,41,103,17,1,3
189,Female,36,103,85,1,2
190,Female,34,103,23,1,3
191,Female,32,103,69,1,2
192,Male,33,113,8,1,3
193,Female,38,113,91,1,2
